Cell ID	Centroid X um	Centroid Y um	Area µm^2	DAPI: Mean	DAPI: Median	CD3e: Mean	CD3e: Median	Nucleus: CD3e: Mean	Cell Type
cell-001	355.886661	441.653955	26.872203	101.085743	123.496829	50.277834	17.71372	87.281533	T cell
cell-002	331.048789	479.922468	136.229664	201.387931	67.35751	96.337698	30.350575	34.263104	B cell
cell-003	113.793828	270.560933	71.580203	88.867261	96.1799	65.894126	44.493829	43.625471	Other
cell-004	108.916619	120.103228	113.506727	127.91641	121.450519	31.172042	45.576926	27.49835	T cell
cell-005	399.631985	455.578378	134.029474	121.020865	91.987076	25.048523	41.201388	27.871727	B cell
cell-006	235.487072	88.792773	75.246972	82.780228	85.16748	42.862963	44.231886	22.940159	Other
cell-007	30.639103	84.382323	67.096449	53.325909	64.503447	51.588852	68.673735	61.336414	T cell
cell-008	115.793307	41.903383	78.083053	111.110574	129.772874	44.740479	18.792594	31.597399	B cell
cell-009	111.048466	498.561782	111.980581	106.730376	59.21977	40.809497	25.12239	63.929931	Other
cell-010	443.332087	204.531792	74.25554	105.6723	94.245937	44.471366	29.807727	58.655341	T cell
cell-011	63.83051	158.410671	95.624329	112.447038	55.744367	42.094637	19.027776	22.736283	B cell
cell-012	369.289107	69.231511	131.288645	75.016552	67.387427	46.526412	23.118685	44.456472	Other
cell-013	160.597288	223.686777	27.076886	98.150913	133.162593	25.553186	26.131322	30.308107	T cell
cell-014	337.654019	237.042872	22.228989	134.30038	94.166912	47.459605	26.20484	42.564551	B cell
cell-015	438.987228	238.1265	24.814682	112.371072	113.98443	33.524815	88.290763	41.331232	Other
cell-016	227.043817	184.962629	54.515143	67.705715	130.077516	64.302607	43.851188	23.062163	T cell
cell-017	148.813469	316.637915	91.654244	87.43056	70.212452	85.753052	30.269203	37.570107	B cell
cell-018	382.951457	402.372202	114.769789	48.600403	73.456755	37.655553	25.1802	62.655839	Other
cell-019	419.866559	298.154834	134.942299	81.355198	94.300478	33.800605	40.733343	52.485636	T cell
cell-020	379.695727	37.901575	63.835613	49.628999	87.643352	33.951922	26.918682	55.243025	B cell
cell-021	504.541984	105.357748	121.801456	143.966852	69.337441	41.899703	13.417113	52.64054	Other
cell-022	256.784796	426.199606	71.33948	81.299732	73.371196	38.358123	61.164268	41.742943	T cell
cell-023	459.426553	132.548805	84.72718	85.563868	59.750255	39.548945	32.588442	43.361043	B cell
cell-024	375.67208	45.530207	133.105248	95.209605	77.351707	58.683711	30.190193	46.079818	Other
cell-025	317.150226	20.589407	38.271289	113.92391	70.370976	22.541326	39.896749	14.331803	T cell
cell-026	243.061651	112.666603	92.253291	114.920244	76.828999	39.403184	35.375925	38.578284	B cell
cell-027	504.860498	260.318278	49.40944	117.0384	62.120638	56.058174	26.906261	70.133121	Other
cell-028	51.765722	470.341155	120.033615	138.723375	114.238327	54.581536	38.082046	19.034105	T cell
cell-029	33.105486	167.437353	127.773304	91.824968	75.318936	29.382444	47.071462	45.880597	B cell
cell-030	400.618242	402.299043	56.201424	149.790006	65.40989	57.639405	38.973758	59.322374	Other
cell-031	58.252114	506.923989	79.587327	136.849913	155.304499	49.992875	24.82313	21.033986	T cell
